Motif	Factor	Evidence	Curated
Mixed_Average_13	SOX21	ChIP-seq	Y
Mixed_Average_13	SOX3	ChIP-seq	Y
Mixed_Average_13	POU3F1	ChIP-seq	Y
Mixed_Average_13	POU3F4	ChIP-seq	Y
Mixed_Average_13	POU5F3.1	ChIP-seq	Y
Mixed_Average_13	POU5F3.2	ChIP-seq	Y
Mixed_Average_13	POU5F3.3	ChIP-seq	Y
Homeodomain_Average_79	IRX1	ChIP-seq	Y
Homeodomain_Average_79	IRX2	ChIP-seq	Y
Homeodomain_Average_79	IRX3	ChIP-seq	Y
Homeodomain_Average_79	IRX4	ChIP-seq	Y
Homeodomain_Average_79	IRX5	ChIP-seq	Y
Homeodomain_Average_79	IRX6	ChIP-seq	Y
Homeodomain_M5856_1.01	IRX1	ChIP-seq	Y
Homeodomain_M5856_1.01	IRX2	ChIP-seq	Y
Homeodomain_M5856_1.01	IRX3	ChIP-seq	Y
Homeodomain_M5856_1.01	IRX4	ChIP-seq	Y
Homeodomain_M5856_1.01	IRX5	ChIP-seq	Y
Homeodomain_M5856_1.01	IRX6	ChIP-seq	Y
Homeodomain_Average_371	EN1	ChIP-seq	Y
Homeodomain_Average_371	EN2	ChIP-seq	Y
